latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
31.220957,-83.080259,018,038,5462,5902,2026-07-27,1606,L9,high,D
31.220686,-83.080253,018,038,5462,5903,2026-07-27,1606,L9,high,D
31.220416,-83.080247,018,038,5462,5904,2026-07-27,1606,L9,high,D
31.220145,-83.080241,018,038,5462,5905,2026-07-27,1606,L9,high,D
31.219875,-83.080235,018,038,5462,5906,2026-07-27,1606,L9,high,D
31.219604,-83.080229,018,038,5462,5907,2026-07-27,1606,L9,high,D
31.220962,-83.079944,018,038,5463,5902,2026-07-27,1606,L9,medium,D
31.220691,-83.079938,018,038,5463,5903,2026-07-27,1606,L9,high,D
31.220421,-83.079932,018,038,5463,5904,2026-07-27,1606,L9,high,D
31.22015,-83.079926,018,038,5463,5905,2026-07-27,1606,L9,high,D
31.21988,-83.07992,018,038,5463,5906,2026-07-27,1606,L9,high,D
31.219609,-83.079914,018,038,5463,5907,2026-07-27,1606,L9,high,D
31.220426,-83.079617,018,038,5464,5904,2026-07-27,1606,L9,high,D
31.219614,-83.079599,018,038,5464,5907,2026-07-27,1606,L9,high,D
31.220431,-83.079302,018,038,5465,5904,2026-07-27,1606,L9,high,D
31.596762,-83.033245,018,038,5637,4516,2026-07-27,1606,L9,low,D
31.596767,-83.032929,018,038,5638,4516,2026-07-27,1606,L9,high,D
31.596496,-83.032923,018,038,5638,4517,2026-07-27,1606,L9,high,D
30.965548,-82.90166,018,038,6013,6856,2026-07-27,1606,L9,high,D
30.965278,-82.901654,018,038,6013,6857,2026-07-27,1606,L9,high,D
30.963384,-82.901617,018,038,6013,6864,2026-07-27,1606,L9,high,D
30.963113,-82.901611,018,038,6013,6865,2026-07-27,1606,L9,low,D
30.962843,-82.901606,018,038,6013,6866,2026-07-27,1606,L9,low,D
30.966094,-82.901356,018,038,6014,6854,2026-07-27,1606,L9,high,D
30.965823,-82.901351,018,038,6014,6855,2026-07-27,1606,L9,high,D
30.965553,-82.901346,018,038,6014,6856,2026-07-27,1606,L9,high,D
30.965282,-82.90134,018,038,6014,6857,2026-07-27,1606,L9,high,D
30.965012,-82.901335,018,038,6014,6858,2026-07-27,1606,L9,high,D
30.964741,-82.90133,018,038,6014,6859,2026-07-27,1606,L9,high,D
30.964471,-82.901324,018,038,6014,6860,2026-07-27,1606,L9,medium,D
30.963659,-82.901308,018,038,6014,6863,2026-07-27,1606,L9,high,D
30.963389,-82.901303,018,038,6014,6864,2026-07-27,1606,L9,high,D
